left_top_x,left_top_y,left_top_z,right_top_x,right_top_y,right_top_z,left_bottom_x,left_bottom_y,left_bottom_z,right_bottom_x,right_bottom_y,right_bottom_z
2.090,-0.308,0.145,2.108,-0.772,0.121,2.082,-0.275,-0.654,2.100,-0.755,-0.665
1.949,-0.114,0.162,1.993,-0.580,0.156,1.944,-0.099,-0.625,1.997,-0.567,-0.625
1.663,0.421,0.212,1.792,-0.024,0.179,1.632,0.471,-0.586,1.767,0.029,-0.614
1.671,0.721,0.215,1.98,0.373,0.188,1.644,0.755,-0.581,1.957,0.404,-0.605
1.444,0.610,0.265,1.67,0.206,0.245,1.402,0.627,-0.535,1.630,0.219,-0.555
1.343,0.238,0.296,1.467,-0.216,0.252,1.278,0.280,-0.502,1.387,-0.184,-0.546
1.258,-0.169,0.211,1.275,-0.638,0.200,1.215,-0.111,-0.581,1.243,-0.590,-0.605
1.304,-0.174,0.196,1.315,-0.639,0.185,1.28,-0.146,-0.606,1.315,-0.620,-0.615
1.608,-0.136,0.262,1.610,-0.606,0.241,1.576,-0.1117,-0.545,1.574,-0.580,-0.545
2.044,-0.080,0.325,2.024,-0.543,0.282,2.107,-0.027,-0.461,2.082,-0.503,-0.490
1.776,0.227,0.159,1.844,-0.231,0.139,1.861,0.277,-0.615,1.933,-0.182,-0.649
1.597,0.211,0.117,1.674,-0.242,0.085,1.804,0.276,-0.650,1.88,-0.1947,-0.674
1.484,0.193,0.0643,1.549,-0.263,0.051,1.776,0.269,-0.667,1.8463,-0.197,-0.677
1.255,0.103,0.264,1.288,-0.353,0.244,1.700,0.1443,-0.389,1.714,-0.3288,-0.400
2.119,-0.094,0.375,2.051,-0.557,0.326,2.304,-0.039,-0.399,2.236,-0.505,-0.445
1.902,-0.241,0.143,1.907,-0.706,0.124,1.935,-0.211,-0.653,1.941,-0.693,-0.657
1.597,0.211,0.117,1.674,-0.242,0.085,1.804,0.276,-0.650,1.88,-0.1947,-0.674
1.484,0.193,0.0643,1.549,-0.263,0.051,1.776,0.269,-0.667,1.8463,-0.197,-0.677
1.255,0.103,0.264,1.288,-0.353,0.244,1.700,0.1443,-0.389,1.714,-0.3288,-0.400
2.119,-0.094,0.375,2.051,-0.557,0.326,2.304,-0.039,-0.399,2.236,-0.505,-0.445
1.902,-0.241,0.143,1.907,-0.706,0.124,1.935,-0.211,-0.653,1.941,-0.693,-0.657
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
